x,y,z
25.74,350.715,40.385
25.594,351.328,35.006
31.634,350.658,92.048
27.637,351.247,63.125
27.906,351.174,65.34
35.46,348.474,102.842
42.269,347.058,111.095
31.832,350.398,93.168
44.175,346.631,113.386
28.883,351.837,77.256
27.884,351.157,64.027
28.704,351.843,72.501
28.828,351.822,75.749
29.437,351.498,84.209
22.365,359.939,53.396
22.152,359.703,49.514
22.233,359.789,49.642
22.049,359.753,47.704
22.111,359.735,48.388
22.15,359.695,44.464
21.813,359.629,43.546
21.93,359.65,43.398
21.87,359.532,41.486
22.419,359.999,53.71
24.227,361.184,77.066
23.728,361.18,73.939
23.609,361.039,72.986
24.275,361.138,78.068
24.005,361.203,75.631
23.334,360.899,70.833
23.648,361.118,73.454
23.288,360.802,71.574
23.06,360.601,69.693
22.961,360.51,67.146
22.993,360.579,67.332
22.783,360.347,65.658
22.685,360.168,62.075
22.434,359.872,55.464
22.474,360.032,60.233
22.66,360.193,59.338
25.685,361.271,82.537
24.896,361.224,80.404
24.594,361.202,79.136
23.543,360.958,72.86
23.631,361.094,73.822
23.452,360.927,72.254
22.848,360.391,64.608
22.879,360.476,67.483
23.027,360.6,67.549
22.85,360.447,67.288
22.531,360.061,60.084
23.817,361.253,74.364
22.612,360.137,58.968
22.504,359.954,57.007
22.458,359.901,56.809
22.213,359.791,49.844
22.106,359.73,47.062
22.134,359.747,46.762
23.264,360.808,70.541
22.196,359.944,43.536
22.843,360.41,62.673
23.061,360.658,69.222
23.558,361.035,73.616
22.208,359.82,47.379
21.572,359.608,38.971
21.524,359.36,35.191
22.043,358.479,30.937
22.26,358.152,29.189
23.205,356.873,27.338
23.336,356.933,27.459
21.823,359.461,35.295
21.826,359.676,37.083
21.6,359.542,37.191
21.812,359.588,37.525
21.669,359.539,36.475
21.782,358.994,33.092
21.871,359.55,35.764
21.967,358.828,32.211
21.817,358.97,32.906
21.737,359.56,38.255
21.767,359.478,35.593
21.797,359.471,35.451
21.587,359.193,34.567
15.786,369.721,62.631
15.9,369.73,63.962
16.369,369.478,68.392
16.388,369.459,68.941
16.868,369.742,69.525
18.873,369.372,78.818
18.008,369.299,76.033
22.337,369.514,90.873
27.354,367.931,102.831
27.652,367.734,103.426
27.633,367.816,103.274
28.101,367.364,104.61
28.099,367.129,107.993
26.168,368.242,100.9
19.021,369.31,79.837
17.292,369.422,75.942
15.725,369.701,63.279
20.109,369.539,83.479
16.496,370.058,42.639
16.81,369.97,39.153
17.223,369.796,38.051
15.819,369.98,59.481
16.516,369.967,41.502
16.452,369.925,42.79
16.072,370.008,50.435
16.237,370.604,54.227
15.558,369.787,58.343
15.729,369.824,60.146
15.659,369.705,61.741
16.092,369.761,64.998
16.613,369.819,67.538
18.458,369.691,76.476
18.238,369.347,76.705
19.799,369.402,82.444
24.493,368.852,97.096
24.651,368.973,97.07
22.944,369.347,92.687
18.391,369.369,77.397
24.882,368.732,97.888
26.718,368.197,101.695
27.158,367.868,102.708
27.703,367.49,104.035
16.304,370.117,49.517
18.461,367.693,34.794
16.198,369.907,47.656
30.939,366.01,111.817
19.974,369.476,83.07
16.597,371.155,51.469
15.628,369.794,59.355
18.433,369.428,77.095
30.194,366.581,107.748
22.377,369.449,91.217
23.486,369.102,94.538
16.922,369.69,70.065
31.5,366.133,109.533
32.694,365.714,111.684
20.806,363.498,51.341
20.928,363.271,44.813
20.722,363.418,42.478
20.717,363.391,42.664
20.539,363.278,46.28
20.839,363.283,44.167
20.798,363.334,46.134
20.642,363.488,51.156
20.553,363.442,50.633
20.601,363.151,45.393
20.868,363.34,46.288
20.863,363.538,47.989
20.691,363.371,46.303
44.606,365.943,124.218
44.617,358.456,122.391
45.68,362.272,124.527
45.744,343.601,113.435
47.633,342.772,114.868
32.818,342.788,73.164
32.537,342.601,74.941
33.255,342.919,76.754
33.252,342.872,76.986
33.486,342.845,78.556
34.845,342.798,85.782
35.316,342.648,88.88
36.215,342.85,89.984
36.882,342.754,91.7
37.017,342.609,92.964
39.766,341.991,99.008
39.882,341.927,99.316
39.713,341.685,99.433
40.971,341.608,101.363
44.361,340.938,107.007
41.383,341.37,102.536
44.365,340.777,107.488
47.447,340.277,110.28
47.544,340.384,110.069
39.946,341.784,99.595
38.741,342.012,97.341
31.345,341.395,61.62
34.339,342.791,84.481
33.998,342.752,82.882
34.021,342.813,82.053
33.672,342.723,80.906
34.212,342.85,82.858
32.823,342.701,76.197
32.369,342.388,71.194
31.8,341.806,67.169
32.448,342.408,70.735
32.013,341.973,68.631
31.704,341.68,66.542
31.49,342.049,69.775
31.867,341.78,65.702
31.111,341.319,62.284
31.139,341.339,61.865
31.578,341.542,61.929
30.948,341.007,59.524
30.786,341.115,60.102
30.964,340.957,59.279
30.887,340.882,57.485
30.792,340.791,57.084
30.88,340.826,55.645
30.298,340.606,48.884
29.96,340.516,48.959
30.196,340.563,49.085
29.839,340.527,49.17
30.048,340.513,49.297
29.614,340.508,48.235
30.294,340.595,48.036
30.586,340.834,48.338
30.295,340.594,52.138
30.757,340.835,54.918
30.859,340.863,54.669
30.547,340.699,53.272
30.848,340.805,53.983
30.665,340.729,54.13
30.902,340.8,55.926
31.104,340.933,55.995
31.158,340.991,57.911
31.11,340.986,57.369
30.947,340.884,57.803
30.929,340.863,57.248
31.043,340.823,56.562
30.975,340.849,57.086
31.151,341.236,60.507
31.552,341.528,61.485
31.382,341.411,64.228
31.855,341.759,65.171
32.109,342.026,68.424
32.746,342.726,72.939
31.553,341.731,67.323
33.219,343.069,75.693
33.204,342.783,77.339
33.632,342.755,80.57
33.508,342.735,80.261
34.373,342.99,93.47
39.202,341.838,98.37
40.726,341.751,100.793
41.584,341.472,102.51
47.307,340.321,110.063
49.27,339.842,111.374
45.317,340.602,108.662
46.345,340.435,109.362
48.321,340.083,110.775
39.415,341.806,104.93
38.817,342.051,104.212
37.93,342.253,102.531
37.665,342.446,94.735
31.438,344.228,84.918
31.249,341.207,60.153
31.191,341.023,59.149
31.162,341.051,59.377
30.957,340.909,55.1
29.867,340.484,50.164
30.504,340.676,49.844
30.888,340.729,56.316
36.934,342.633,92.467
35.791,342.707,97.453
44.15,340.84,107.121
42.007,341.362,103.224
31.989,341.974,67.167
41.455,341.465,102.34
38.444,342.151,96.502
34.661,342.804,85.3
31.884,341.84,67.968
31.148,341.258,60.712
30.908,340.745,56.511
34.136,342.832,91.711
36.034,342.49,97.344
44.174,340.903,106.863
29.844,340.476,48.16
30.924,340.864,55.29
32.304,342.518,74.783
37.79,342.205,95.543
31.197,341.113,59.771
41.977,341.018,105.713
33.313,334.523,45.67
33.325,334.494,45.462
33.221,334.457,46.361
33.27,333.961,42.876
33.538,334.164,42.336
33.669,334.339,42.157
33.35,333.982,42.37
33.249,333.508,39.743
33.46,333.668,39.958
33.641,333.896,40.041
33.609,334.039,41.086
32.877,334.755,53.693
33.716,333.724,39.255
33.19,334.321,45.396
32.801,334.903,55.829
32.778,335.213,59.399
32.754,335.133,59.122
32.746,335.296,60.121
32.645,335.208,60.369
32.837,335.436,63.612
33.38,335.497,70.126
32.954,335.346,67.982
36.268,335.139,81.664
36.06,334.938,81.691
35.492,334.942,80.399
33.023,334.606,51.782
35.504,335.154,79.695
35.285,335.087,79.341
34.966,335.197,78.156
33.825,335.437,73.296
33.734,335.319,73.571
33.329,335.428,70.603
32.869,335.401,65.024
33.067,335.443,66.409
32.761,335.36,63.392
32.826,335.427,62.471
32.706,335.059,58.527
32.686,335.064,58.229
32.777,335.013,56.306
32.892,334.979,54.879
33.198,334.383,45.887
33.463,334.299,43.386
33.082,334.565,51.167
33.161,333.11,36.969
33.297,334.698,46.853
33.28,334.747,47.141
33.054,334.768,52.291
32.855,335.036,56.068
32.816,335.223,56.924
32.875,335.424,62.043
32.815,335.434,62.926
32.945,335.537,64.533
32.906,335.458,64.726
33.549,335.447,71.843
34.287,335.367,75.485
35.165,335.041,79.158
36.589,334.881,82.833
35.737,335.04,80.574
35.227,334.995,79.553
34.857,335.051,78.353
34.599,335.253,77.121
33.977,335.371,74.253
32.701,335.208,59.857
33.004,335.411,66.193
32.81,335.28,61.181
32.741,335.317,62.236
32.932,334.569,52.369
32.631,334.967,58.756
32.93,335.101,55.746
32.663,335.023,56.767
32.645,335.083,57.691
32.864,334.915,54.685
33.503,333.638,39.681
33.211,334.313,45.185
33.645,333.97,40.247
32.72,335.016,56.518
43.137,325.404,74.726
40.135,326.423,60.867
39.648,326.592,53.684
39.775,326.634,50.713
41.649,324.78,33.061
44.752,323.741,20.764
41.214,326.307,40.36
44.243,323.203,20.977
44.926,323.029,18.679
44.318,325.104,78.17
42.131,325.214,33.557
39.829,326.6,49.982
40.618,326.131,64.024
42.4,323.534,25.601
40.65,326.6,43.383
37.213,327.191,73.199
38.662,327.226,78.429
37.34,327.861,72.446
40.311,327.27,82.301
39.457,327.095,80.832
37.255,327.505,73.091
37.102,327.526,72.529
38.708,327.648,77.082
37.506,327.404,74.162
47.139,334.073,109.972
32.536,335.254,86.499
39.655,333.835,90.007
36.558,334.635,95.708
39.988,334.065,102.28
40.305,333.501,93.145
35.464,334.49,83.847
35.628,334.823,94.096
34.948,334.974,92.431
35.406,334.825,93.378
46.013,332.263,108.779
46.397,331.859,101.835
39.14,333.879,100.103
45.274,332.272,108.033
33.286,334.997,86.37
35.927,334.375,86.512
41.599,333.351,98.615
38.689,333.973,99.282
73.604,326.412,-8.346
73.314,325.91,-8.264
62.548,326.626,-2.006
62.775,326.482,-2.161
53.548,332.715,2.101
55.188,330.371,3.031
74.455,326.556,-8.678
74.273,326.663,-8.723
80.437,317.306,1.235
78.701,322.284,-7.695
78.689,326.287,-9.075
76.386,320.901,-7.55
76.113,320.204,-7.305
76.495,320.604,-7.396
71.761,324.078,-8.079
74.013,326.093,-8.34
69.493,325.613,-6.946
64.117,326.075,-3.247
61.746,326.933,-1.465
54.536,329.936,3.582
80.611,317.681,1.676
74.681,326.622,-9.224
74.361,326.961,-9.365
71.232,325.951,-7.764
71.994,323.74,-8.079
62.35,326.717,-1.872
73.265,326.38,-8.43
79.628,321.292,-6.134
74.596,326.625,-9.089
73.15,326.095,-8.272
74.357,326.679,-8.832
74.723,326.443,-9.032
81.756,309.802,2.372
79.993,310.897,9.427
81.894,311.704,8.677
45.375,372.554,125.683
43.746,373.855,125.416
43.097,373.448,124.783
43.277,374.841,127.138
40.759,372.589,123.986
41.028,373.102,123.466
41.056,373.359,123.502
42.029,374.525,125.128
40.292,372.771,123.426
40.266,372.773,123.413
40.636,373.964,123.442
41.613,375.212,126.505
39.868,373.401,122.738
41.491,375.238,126.568
39.188,373.223,122.421
40.769,375.393,125.945
39.556,374.904,126.158
39.908,375.546,125.333
39.422,375.319,124.147
39.583,375.543,124.879
45.294,382.169,126.692
36.922,373.958,120.671
44.275,382.339,126.366
36.472,373.481,120.675
44.83,383.106,126.664
45.029,383.191,126.766
36.819,374.038,120.6
44.845,383.586,127.013
43.399,382.551,126.066
35.596,373.569,120.222
43.662,383.072,126.208
37.234,375.871,122.983
44.151,383.879,127.289
42.548,382.258,129.555
43.78,383.882,127.028
36.631,376.032,122.689
43.031,383.409,126.046
34.216,373.73,120.445
34.585,374.128,118.802
42.618,383.558,125.909
35.414,376.025,122.887
33.382,374.208,120.437
34.701,375.981,122.509
34.776,376.225,120.539
40.458,382.643,124.807
40.966,383.549,125.002
34.203,376.454,120.282
40.41,383.519,128.877
39.916,384.008,124.58
38.231,382.698,126.619
32.762,376.932,119.376
22.701,366.327,27.015
22.753,366.472,27.223
38.224,383.293,123.448
22.634,366.402,27.044
22.677,366.683,27.28
22.584,366.554,27.099
31.942,376.965,119.48
29.873,374.757,115.697
29.974,374.755,114.811
31.85,377.076,118.159
29.987,375.018,114.415
29.773,374.912,114.469
38.589,384.936,127.168
30.987,376.988,118.9
38.097,385.03,126.848
30.875,377.382,117.526
36.732,383.945,122.488
35.614,383.011,124.69
36.686,384.532,126.92
35.655,382.97,122.796
21.634,367.757,27.257
22.447,368.53,27.37
30.222,377.249,117.949
35.724,383.425,121.924
28.235,375.614,115.449
28.237,375.464,115.185
28.084,375.541,115.071
30.129,377.583,116.986
42.618,391.617,127.877
28.881,376.421,113.131
22.05,368.863,28.658
35.073,383.76,125.534
35.57,384.202,126.173
27.786,376.064,111.56
35.552,385.256,122.995
35.287,384.648,126.025
35.405,384.85,121.941
34.333,383.672,120.931
21.326,369.871,28.794
41.386,392.03,126.883
28.305,377.575,116.032
21.147,369.801,28.672
21.09,369.968,28.804
20.616,369.321,31.419
34.096,383.654,124.661
26.913,376.303,110.39
28.332,378.065,114.887
33.158,383.661,123.814
27.721,377.619,115.464
32.694,383.531,121.323
34.144,385.226,121.218
27.672,378.197,114.405
26.321,376.513,109.577
25.747,376.047,110.194
40.47,392.512,126.406
33.088,384.571,124.39
26.988,377.845,114.536
21.02,371.343,30.193
19.98,370.278,32.865
26.915,377.888,114.436
26.085,377.406,113.698
25.223,376.858,112.15
20.623,371.487,29.759
19.82,371.079,30.104
19.886,371.21,32.235
38.658,391.996,126.031
38.548,392.047,125.926
20.4,372.314,30.556
31.085,384.318,118.245
23.855,376.66,106.951
40.261,394.842,128.42
40.212,394.837,128.382
38.493,393.66,125.792
38.165,393.116,125.414
39.442,394.518,128.676
29.552,383.936,120.208
23.723,377.208,105.558
38.559,394.439,128.473
31.126,386.268,121.942
35.863,391.824,127.018
24.342,378.779,110.732
30.898,386.271,121.964
30.779,386.298,121.806
30.664,386.035,122.272
18.314,372.333,31.942
38.638,394.814,127.915
24.157,379.319,109.466
35.777,391.898,124.826
36.005,392.327,124.388
30.613,386.358,120.239
37.891,394.715,127.14
37.819,394.833,127.566
35.242,391.78,125.251
22.601,377.498,103.59
37.668,394.472,128.195
22.541,377.542,103.476
35.455,391.999,124.42
30.241,386.439,120.451
36.332,393.405,127.865
29.67,386.325,118.05
37.797,394.83,127.548
21.925,377.914,106.843
21.914,377.528,102.381
29.54,386.36,117.952
23.463,379.533,108.349
29.286,385.927,121.287
19.272,374.831,33.048
21.186,377.518,104.421
23.129,379.603,107.038
22.882,379.615,107.98
18.919,375.255,33.388
19.091,375.62,34.472
27.997,385.572,115.02
35.213,393.36,127.219
18.837,375.584,33.704
20.243,377.734,102.23
42.169,401.926,126.978
27.169,385.194,114.046
42.352,402.147,126.962
20.643,377.972,99.335
42.018,401.949,126.917
28.319,386.646,119.841
20.474,377.689,102.9
28.307,386.78,117.657
33.264,392.192,123.088
20.775,378.879,100.504
28.017,386.699,119.547
33.246,392.81,122.574
17.567,375.606,37.091
17.926,375.985,34.369
20.408,378.64,104.317
20.006,378.034,97.74
16.4,374.453,39.27
41.159,401.887,126.834
19.988,378.126,97.656
25.794,384.796,115.792
19.815,378.169,97.097
16.483,374.41,39.427
16.363,374.558,39.135
16.334,374.767,39.04
19.401,377.772,97.908
16.694,375.12,38.874
16.032,374.698,39.005
20.316,379.068,99.557
42.077,403.33,126.912
40.719,401.783,127.225
32.088,392.242,124.435
70.101,368.368,124.425
26.133,385.654,112.661
26.062,385.703,112.551
32.51,392.755,122.123
15.867,374.559,38.919
15.825,374.728,38.899
15.73,374.581,38.778
20.425,379.742,100.878
17.358,378.914,37.77
26.434,386.376,118.418
18.426,378.236,98.306
18.768,377.946,94.373
20.3,379.913,103.961
19.588,374.222,32.493
19.479,374.39,33.103
17.372,376.917,35.859
31.164,392.269,122.311
41.067,403.323,126.364
20.152,380.261,102.393
20.109,380.25,101.74
40.462,402.815,129.833
17.826,377.789,94.373
15.462,374.968,37.086
17.939,377.618,93.121
19.996,380.276,102.29
40.508,403.22,126.061
42.028,404.679,127.963
19.307,375.366,33.904
17.869,378.284,91.45
18.894,375.937,34.326
30.69,392.525,121.281
16.785,377.327,36.373
17.13,377.798,92.064
17.386,377.716,92.033
25.792,387.109,117.017
39.636,402.615,125.722
17.56,377.824,36.76
18.78,379.842,101.308
31.756,394.088,124.956
31.879,394.342,124.747
17.451,378.864,37.907
18.723,379.989,100.999
17.445,378.332,90.066
30.153,392.488,121.199
30.266,393.069,123.769
30.356,393.006,120.539
40.291,403.961,129.596
25.181,387.391,112.502
24.309,386.258,110.001
23.539,385.69,114.088
17.927,379.4,93.02
17.441,378.961,38.064
17.265,378.624,38.606
17.471,379.019,38.313
17.338,379.093,37.946
38.881,403.276,129.01
18.435,379.874,100.47
38.5,402.555,125.401
30.749,393.661,124.4
16.332,377.968,87.495
23.833,386.576,115.252
18.093,380.285,97.483
15.336,377.403,38.013
17.896,380.229,94.991
29.034,392.639,121.25
17.879,380.125,94.407
15.741,377.877,37.723
40.073,404.86,128.876
17.922,380.326,96.405
30.448,394.296,123.972
17.425,380.318,94.2
17.31,380.096,92.489
16.299,379.321,93.768
23.903,387.433,114.967
28.629,392.804,121.357
15.553,378.039,82.884
39.391,404.685,128.804
29.167,393.443,119.361
30.264,394.841,120.714
17.136,380.09,96.014
22.315,386.362,112.718
16.29,379.462,38.218
14.64,377.551,41.312
15.177,378.153,81.724
22.358,386.582,112.934
23.585,387.577,114.433
14.989,378.314,42.105
22.301,386.236,106.458
14.542,378.044,41.932
14.399,378.096,41.855
14.605,378.136,42.088
16.714,380.274,90.793
14.655,378.788,82.461
15.769,379.565,92.187
15.175,378.783,78.712
23.147,388.047,109.32
29.179,394.571,122.934
16.3,380.479,89.867
16.289,380.456,90.665
14.882,379.234,87.75
15.08,378.772,78.15
14.549,378.44,76.652
14.619,378.415,76.855
16.112,380.54,89.937
21.959,386.834,105.486
36.178,402.914,125.19
21.817,386.757,105.191
37.558,404.61,128.251
16.657,381.542,39.739
15.507,379.981,39.185
16.536,381.158,39.436
15.969,380.595,88.958
29.263,395.245,120.337
16.658,381.158,39.554
13.472,380.259,54.508
13.727,380.635,52.081
13.462,380.477,53.013
14.761,379.362,43.467
13.713,380.608,51.875
13.568,380.568,51.756
13.774,380.102,60.188
12.43,380.906,66.34
13.71,379.98,59.445
13.65,379.938,59.894
13.523,379.949,59.791
13.554,380.136,57.685
13.49,380.156,57.378
29.073,395.262,121.331
13.685,380.27,56.139
13.475,380.634,50.81
13.622,380.656,50.677
13.628,380.647,50.879
13.591,380.639,49.594
13.543,380.631,49.402
13.568,380.558,52.355
13.76,380.735,50.525
13.371,380.651,48.981
13.802,380.723,48.998
16.734,381.672,39.904
27.463,393.387,118.132
15.75,380.737,39.52
13.633,379.985,59.28
13.554,379.971,59.438
13.757,380.03,59.972
14.043,378.737,75.248
13.653,380.636,49.085
14.164,378.825,43.07
14.015,378.967,43.247
13.381,380.333,54.239
16.453,381.606,39.63
13.4,380.283,54.391
13.515,380.306,54.356
13.694,380.029,59.122
28.098,394.482,122.22
13.66,380.233,56.333
13.362,380.291,56.251
13.54,380.218,56.21
13.511,380.21,56.384
13.343,380.28,56.463
13.494,380.186,56.554
13.735,380.637,51.569
13.596,380.588,51.583
13.915,380.201,46.365
20.12,373.237,32.027
13.969,379.443,44.172
37.374,404.675,128.138
37.733,405.129,127.886
13.821,380.322,57.993
13.585,380.182,57.051
13.527,380.178,57.21
13.544,380.565,52.142
27.018,393.261,117.985
21.209,386.651,104.0
27.078,393.821,121.158
13.733,380.562,52.995
13.444,380.627,51.601
13.452,380.638,50.605
13.59,380.359,47.973
15.272,380.277,89.11
13.763,380.239,57.774
13.888,380.368,57.687
13.947,380.591,56.871
13.748,380.262,56.978
13.443,380.242,55.531
13.738,380.481,48.362
16.484,382.046,41.135
27.659,394.251,117.8
35.409,403.361,125.866
15.289,380.6,84.087
28.545,395.367,120.697
13.562,380.09,61.84
13.377,380.126,58.628
28.447,395.42,119.589
13.66,380.66,49.985
21.072,387.424,103.324
15.091,380.663,86.629
13.517,380.22,55.807
13.477,380.617,51.431
13.639,380.056,58.832
13.808,380.148,59.099
13.781,380.079,59.291
13.769,380.272,47.051
16.2,375.168,39.141
27.936,395.056,118.377
22.027,388.657,108.59
13.437,380.214,55.277
20.766,387.311,102.511
13.334,380.723,51.464
13.552,380.377,48.119
13.854,379.349,67.559
35.604,404.099,127.096
13.399,379.55,42.665
70.059,367.636,125.291
13.746,379.529,65.679
13.975,381.188,55.225
13.027,380.147,76.033
16.035,382.208,40.151
13.699,380.628,61.982
14.848,380.901,84.089
14.744,380.924,83.948
70.097,367.427,125.564
14.535,380.906,82.179
15.88,382.217,40.255
19.68,386.766,106.175
14.027,379.914,82.725
13.424,380.207,57.092
13.468,380.177,56.705
14.384,380.93,82.034
14.831,380.922,83.875
13.647,380.061,62.286
14.184,380.489,46.599
20.053,386.891,100.626
14.32,380.939,81.349
13.601,380.533,52.529
14.227,380.95,80.893
14.291,380.93,79.198
13.278,380.714,50.298
13.777,380.772,49.885
14.352,380.846,82.572
13.477,380.39,47.428
14.148,380.922,80.598
14.178,380.918,80.748
13.668,380.215,62.149
13.611,380.082,62.021
21.229,388.844,106.252
13.492,380.051,60.932
